"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Stanley Umude","DET","SG OUT","127","51","11","7","8",".441",".906","24","14","24","307","29","13","0.79","40"
"Andre Jackson Jr.","MIL","PG,SG DTD","125","113","50","6","16",".500",".727","17","28","57","572","8","33","1.79","92"
"Olivier-Maxence Prosper","DAL","PF,SF OUT","121","79","22","4","7",".385",".683","13","8","40","336","28","27","2.75","20"
"Jarace Walker","IND","PF","120","63","40","11","15",".409",".889","22","17","33","340","8","23","2.35","29"
"Alex Len","SAC","C","120","128","50","33","11",".617",".588","0","27","48","444","20","50","1.85","66"
"Yuta Watanabe","MEM","SF,PF OUT","117","54","15","7","12",".353",".588","25","19","34","464","10","16","0.79","39"
"Jontay Porter","TOR","C,PF SUS","115","82","60","20","20",".385",".833","20","21","26","360","15","20","2.86","35"
"Jeremiah Robinson-Earl","NOR","C,PF","115","76","21","4","10",".474",".750","13","16","39","334","12","32","1.31","24"
"Devonte' Graham","SAS","PG,SG","114","36","49","2","9",".352",".813","25","17","23","313","13","13","2.88","14"
"Isaiah Livers","FA","PF,SF FA","114","48","25","5","13",".345",".667","22","16","23","469","12","18","1.56","43"
"Javonte Green","CHI","SF,SG","110","67","5","8","10",".600",".769","10","7","9","230","10","35","0.71","19"
"Wesley Matthews","ATL","SG,SF","110","53","23","11","16",".351",".750","24","8","36","413","18","10","2.88","43"
"Damian Jones","CLE","C","107","62","15","13","7",".597",".857","3","13","39","270","18","40","1.15","27"
"Chuma Okeke","ORL","PF,SF","107","80","20","7","9",".357",".571","23","16","47","432","4","17","1.25","19"
"Tosan Evbuomwan","DET","PF,SF","101","60","16","5","6",".507",".680","12","9","17","367","17","24","1.78","23"
"Luka Garza","MIN","C","99","31","4","1","4",".480",".720","9","6","25","122","18","27","0.67","24"
"Orlando Robinson","MIA","C G-League","99","84","34","8","7",".500",".760","8","18","36","304","19","28","1.89","35"
"Jamal Cain","MIA","PF,SF,SG G-League","97","37","10","5","10",".430",".783","11","8","26","259","18","23","1.25","22"
"Kenneth Lofton Jr.","UTH","C,PF","96","38","33","5","6",".462",".654","7","14","21","198","17","29","2.36","24"
"Reggie Bullock Jr.","HOU","PF,SF,SG","96","73","15","5","12",".415","1.000","27","10","44","417","1","7","1.50","29"
"Kessler Edwards","SAC","SF,SG","93","42","15","4","10",".415",".556","20","4","54","275","5","14","3.75","26"
"Jericho Sims","NYK","C,PF","92","147","25","19","8",".691",".667","0","16","45","585","16","38","1.56","45"
"Ben Simmons","BKN","PF,PG,SG OUT","92","119","86","9","12",".581",".400","0","27","15","359","6","43","3.19","36"
"Julian Phillips","CHI","SF OUT","89","36","13","7","7",".416",".684","12","10","40","323","13","20","1.30","40"
"Justin Champagnie","WAS","SF,SG","89","53","19","9","10",".410",".800","13","10","15","235","12","19","1.90","14"
"Kobe Brown","LAC","PF,SF","89","62","25","6","12",".411",".500","14","9","44","394","1","23","2.78","49"
"Kira Lewis Jr.","UTH","PG","89","26","37","2","9",".370",".850","4","14","28","264","17","30","2.64","13"
"Furkan Korkmaz","FA","SG,SF FA","88","30","25","3","14",".395",".700","14","10","35","300","14","16","2.50","17"
"Garrett Temple","TOR","PG,SG","88","45","28","3","12",".372",".818","12","14","27","289","18","17","2.00","28"
"Collin Gillespie","DEN","PG","87","21","27","0","13",".464",".667","15","14","24","225","8","17","1.93","24"
"Tristan Vukcevic","WAS","C,PF","85","36","13","7","5",".433",".773","10","10","10","153","17","19","1.30","28"
"Jared Rhoden","DET","PF,SF,SG","83","33","14","13","3",".500",".625","12","7","17","245","5","21","2.00","28"
"Trent Forrest","ATL","PG,SG","83","51","92","3","11",".378",".765","2","20","38","414","13","32","4.60","25"
"Gui Santos","GSW","PF,SF","82","49","14","2","4",".509",".941","10","7","23","192","16","18","2.00","23"
"Jaylen Nowell","DET","SG","81","24","19","2","4",".436",".778","6","7","13","214","7","28","2.71","15"
"Kobe Bufkin","ATL","PG,SG","81","33","27","5","7",".370",".500","9","10","17","196","4","25","2.70","20"
"Onuralp Bitim","CHI","SF,SG OUT","80","32","13","2","3",".381",".800","12","10","23","268","4","20","1.30","24"
"Ashton Hagans","POR","PG,SG","80","45","54","9","11",".409",".824","8","30","19","316","14","21","1.80","40"
"Cody Zeller","NOR","C","76","112","39","5","9",".419",".605","1","16","43","320","23","25","2.44","45"
"Moses Brown","POR","C","75","86","7","7","5",".508",".290","0","11","22","200","9","33","0.64","27"
"Jules Bernard","WAS","SG","74","26","16","1","3",".453",".556","11","8","19","149","5","18","2.00","14"
"Saben Lee","PHO","PG","71","31","30","3","7",".364",".744","2","8","24","185","29","18","3.75","13"
"Leaky Black","CHA","PF,SF G-League","69","48","24","11","8",".481",".667","9","6","26","284","10","16","4.00","19"
