"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Mason Jones","SAC","SG","7","5","5","0","1",".250",".500","2","2","5","28","1","0","2.50","3"
"Jack White","MEM","PF,SF","6","12","1","1","4",".125",".000","2","2","4","64","0","0","0.50","3"
"Lindell Wigginton","FA","PG,SG FA","6","0","0","0","0",".400","1.000","0","1","3","8","2","2","0.00","1"
"Charlie Brown Jr.","NYK","SF,SG","6","2","0","2","0",".200",".000","2","2","8","37","0","0","0.00","5"
"Frank Ntilikina","FA","PG FA","5","6","4","0","0",".111","1.000","1","1","5","43","2","0","4.00","4"
"Alondes Williams","MIA","PG,SG TWO-WAY","5","1","0","1","0",".250","1.000","0","2","7","16","1","2","0.00","2"
"Izaiah Brockington","NOR","SG","4","2","0","0","0",".400",".000","0","0","1","3","0","2","0.00","0"
"Ty Jerome","CLE","PG,SG OUT","4","1","3","0","0",".500",".000","0","1","2","15","0","2","3.00","2"
"Pat Spencer","GSW","PG,SG TWO-WAY","4","4","5","0","0",".500",".000","0","1","6","26","0","2","5.00","1"
"E.J. Liddell","NOR","PF","4","5","1","2","2",".167","1.000","0","2","8","23","2","1","0.50","2"
"Kevon Harris","ORL","SG G-League","4","2","1","0","0",".667",".000","0","1","2","6","0","2","1.00","3"
"Usman Garuba","GSW","C,PF","3","7","1","3","1",".167",".500","0","2","6","18","1","1","0.50","2"
"Adam Flagler","OKC","SG TWO-WAY","3","0","4","0","0",".143",".000","1","0","2","14","0","0","0.00","0"
"Pete Nance","CLE","PF TWO-WAY","3","3","0","0","1",".167",".000","1","1","8","27","0","0","0.00","2"
"Dariq Whitehead","BKN","SF,SG OUT","3","4","3","1","0",".200",".500","0","0","2","24","1","1","0.00","0"
"Filip Petrusev","FA","PF,C FA","3","1","0","0","0",".500",".500","0","0","3","9","1","1","0.00","1"
"Isaiah Wong","IND","PG,SG G-League","2","0","0","0","0",".333",".000","0","0","1","4","0","1","0.00","0"
"Leonard Miller-DUP","FA","F DUP","2","5","1","0","0","1.000",".000","0","0","3","4","0","1","0.00","1"
"Hamidou Diallo","FA","SG,SF FA","2","2","1","0","2",".500",".000","0","1","2","5","0","1","1.00","1"
"(FA - )","2","2","0","0","0",".200",".000","0","1","1","22","0","1","0.00","2"
"Markquis Nowell","FA","PG,SG FA","2","2","2","0","1",".000","1.000","0","0","1","4","2","0","0.00","0"
"Quenton Jackson","IND","PG,SG TWO-WAY","2","4","2","0","1",".000","1.000","0","0","3","11","2","0","0.00","1"
"Joshua Primo","FA","SG FA","2","1","0","1","0",".333",".000","0","4","2","10","0","1","0.00","0"
"(FA - )","2","1","0","0","0",".250",".000","0","0","1","14","0","1","0.00","1"
"(FA - )","2","1","0","0","0",".250",".000","0","0","1","14","0","1","0.00","1"
"Shaquille Harrison","FA","PG,SG FA","2","2","0","1","0",".500",".000","0","0","3","6","0","1","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Ricky Rubio","FA","PG,SG RET","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Malcolm Hill","NOR","PF,SF,SG TWO-WAY","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Justin Lewis","FA","PF FA","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Javonte Smart","FA","PG FA","0","0","0","0","0",".000",".000","0","0","1","1","0","0","0.00","0"
"Vlatko Cancar","DEN","PF,SF OUT","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Zhaire Smith","FA","SG FA","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Dmytro Skapintsev","FA","C FA","0","0","0","0","0",".000",".000","0","0","2","2","0","0","0.00","0"
"Jalen Crutcher","FA","PG FA","0","0","0","0","0",".000",".000","0","0","1","3","0","0","0.00","0"
"Christian Koloko","FA","C FA","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Justise Winslow","FA","PF,SF G-League","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Miles Norris","FA","PF,SF FA","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Kai Jones","LAC","C,PF","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Josh Christopher","FA","SG FA","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Malcolm Cazalon","FA","SF,SG FA","0","0","0","0","0",".000",".000","0","0","1","3","0","0","0.00","0"
"Sharife Cooper","FA","PG FA","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"John Butler Jr.","FA","F FA","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Steven Adams","HOU","C OUT","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Jaylen Martin","BKN","SF,SG TWO-WAY","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Kaiser Gates","FA","SF FA","0","1","0","0","0",".000",".000","0","0","1","7","0","0","0.00","0"
"Victor Oladipo","FA","PG,SG FA","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Sir'Jabari Rice","FA","PG,SG FA","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Charles Bediako","FA","C FA","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Ryan Arcidiacono","FA","PG FA","0","8","4","0","2",".000",".000","0","2","20","45","0","0","2.00","5"
"Andrew Funk","CHI","SG TWO-WAY","0","0","0","1","1",".000",".000","0","0","5","13","0","0","0.00","0"
"Lonzo Ball","CHI","PG OUT","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Nathan Knight","FA","PF,C FA","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Jaylin Galloway","MIL","SF TWO-WAY","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Duane Washington Jr.","NYK","PG,SG TWO-WAY","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Danny Green","FA","SG,SF FA","0","2","1","0","1",".000",".000","0","0","2","18","0","0","0.00","1"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"(FA - )","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Ron Harper Jr.","FA","SF FA","0","0","1","0","0",".000",".000","0","0","1","4","0","0","0.00","2"
"Justin Jackson","FA","SF,PF FA","0","0","0","0","0",".000",".000","0","0","2","1","0","0","0.00","0"
"Damion Lee","PHO","SF,SG OUT","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
"Jaylen Clark","MIN","SG OUT","0","0","0","0","0",".000",".000","0","0","0","0","0","0","0.00","0"
""
""
